Países,Quantidade (Kg),Valor (US$),Ano,Produto
Congo,-,-,2017,Vinho de mesa
"Coreia, Republica Sul",-,-,2017,Vinho de mesa
Costa do Marfim,-,-,2017,Vinho de mesa
Costa Rica,-,-,2017,Vinho de mesa
Croácia,-,-,2017,Vinho de mesa
Cuba,62.791,72.229,2017,Vinho de mesa
Curaçao,12.340,23.011,2017,Vinho de mesa
Dinamarca,581,2.829,2017,Vinho de mesa
Dominica,-,-,2017,Vinho de mesa
El Salvador,-,-,2017,Vinho de mesa
Emirados Arabes Unidos,675,3.302,2017,Vinho de mesa
Equador,-,-,2017,Vinho de mesa
"Eslovaca, Republica",-,-,2017,Vinho de mesa
Espanha,-,-,2017,Vinho de mesa
Estados Unidos,132.688,1.523.699,2017,Vinho de mesa
Estônia,-,-,2017,Vinho de mesa
Filipinas,-,-,2017,Vinho de mesa
Finlândia,-,-,2017,Vinho de mesa
França,4.253,21.654,2017,Vinho de mesa
Gana,-,-,2017,Vinho de mesa
Gibraltar,-,-,2017,Vinho de mesa
Granada,-,-,2017,Vinho de mesa
Grécia,-,-,2017,Vinho de mesa
Guatemala,-,-,2017,Vinho de mesa
Guiana,-,-,2017,Vinho de mesa
Guiana Francesa,-,-,2017,Vinho de mesa
Guine Bissau,48,90,2017,Vinho de mesa
Guine Equatorial,2.639,30.563,2017,Vinho de mesa
Haiti,-,-,2017,Vinho de mesa
Honduras,-,-,2017,Vinho de mesa
Hong Kong,1.934,8.180,2017,Vinho de mesa
Hungria,-,-,2017,Vinho de mesa
Ilha de Man,-,-,2017,Vinho de mesa
Ilhas Virgens,-,-,2017,Vinho de mesa
India,-,-,2017,Vinho de mesa
Indonésia,-,-,2017,Vinho de mesa
Irã,-,-,2017,Vinho de mesa
Iraque,-,-,2017,Vinho de mesa
Irlanda,-,-,2017,Vinho de mesa
Itália,468,2.248,2017,Vinho de mesa
Jamaica,-,-,2017,Vinho de mesa
Japão,33.909,92.886,2017,Vinho de mesa
Jordânia,-,-,2017,Vinho de mesa
Letônia,387,3.723,2017,Vinho de mesa
Líbano,-,-,2017,Vinho de mesa
Libéria,-,-,2017,Vinho de mesa
Luxemburgo,2.719,21.947,2017,Vinho de mesa
Macau,-,-,2017,Vinho de mesa
Malásia,-,-,2017,Vinho de mesa
Malavi,-,-,2017,Vinho de mesa
Malta,-,-,2017,Vinho de mesa
"Marshall, Ilhas",-,-,2017,Vinho de mesa
Martinica,-,-,2017,Vinho de mesa
Mauritânia,-,-,2017,Vinho de mesa
México,664,2.292,2017,Vinho de mesa
Moçambique,-,-,2017,Vinho de mesa
Montenegro,-,-,2017,Vinho de mesa
Namíbia,-,-,2017,Vinho de mesa
Nicarágua,-,-,2017,Vinho de mesa
Nigéria,-,-,2017,Vinho de mesa
Noruega,-,-,2017,Vinho de mesa
Nova Caledônia,-,-,2017,Vinho de mesa
Nova Zelândia,1.678,8.140,2017,Vinho de mesa
Omã,-,-,2017,Vinho de mesa
Países Baixos,-,-,2017,Vinho de mesa
Palau,-,-,2017,Vinho de mesa
Panamá,-,-,2017,Vinho de mesa
Paraguai,2.393.468,4.274.650,2017,Vinho de mesa
Peru,-,-,2017,Vinho de mesa
Pitcairn,-,-,2017,Vinho de mesa
Polônia,-,-,2017,Vinho de mesa
Porto Rico,-,-,2017,Vinho de mesa
Portugal,-,-,2017,Vinho de mesa
Quênia,-,-,2017,Vinho de mesa
Reino Unido,60.711,242.883,2017,Vinho de mesa
República Dominicana,-,-,2017,Vinho de mesa
Rússia,-,-,2017,Vinho de mesa
São Cristóvão e Névis,-,-,2017,Vinho de mesa
São Tomé e Príncipe,-,-,2017,Vinho de mesa
São Vicente e Granadinas,-,-,2017,Vinho de mesa
Senegal,-,-,2017,Vinho de mesa
Serra Leoa,-,-,2017,Vinho de mesa
Singapura,-,-,2017,Vinho de mesa
Suazilândia,-,-,2017,Vinho de mesa
Suécia,15.445,64.953,2017,Vinho de mesa
Suíça,6.525,74.816,2017,Vinho de mesa
Suriname,3.690,5.638,2017,Vinho de mesa
Tailândia,-,-,2017,Vinho de mesa
Taiwan (Formosa),14.988,43.954,2017,Vinho de mesa
Tanzânia,-,-,2017,Vinho de mesa
"Tcheca, República",2.746,16.947,2017,Vinho de mesa
Togo,-,-,2017,Vinho de mesa
Toquelau,-,-,2017,Vinho de mesa
Trinidade Tobago,-,-,2017,Vinho de mesa
Tunísia,-,-,2017,Vinho de mesa
Turquia,-,-,2017,Vinho de mesa
Tuvalu,-,-,2017,Vinho de mesa
Uruguai,-,-,2017,Vinho de mesa
Vanuatu,-,-,2017,Vinho de mesa
Venezuela,680,2.646,2017,Vinho de mesa
Vietnã,-,-,2017,Vinho de mesa
Afeganistão,-,-,2018,Vinho de mesa
África do Sul,-,-,2018,Vinho de mesa
"Alemanha, República Democrática",10.794,45.382,2018,Vinho de mesa
Angola,477,709,2018,Vinho de mesa
Anguilla,-,-,2018,Vinho de mesa
Antígua e Barbuda,37,191,2018,Vinho de mesa
Antilhas Holandesas,-,-,2018,Vinho de mesa
Arábia Saudita,-,-,2018,Vinho de mesa
Argentina,15.711,59.150,2018,Vinho de mesa
Aruba,-,-,2018,Vinho de mesa
Austrália,2.055,6.902,2018,Vinho de mesa
Áustria,-,-,2018,Vinho de mesa
Bahamas,141,634,2018,Vinho de mesa
Bangladesh,-,-,2018,Vinho de mesa
Barbados,-,-,2018,Vinho de mesa
Barein,-,-,2018,Vinho de mesa
Bélgica,7.497,52.799,2018,Vinho de mesa
Belice,-,-,2018,Vinho de mesa
Benin,-,-,2018,Vinho de mesa
Bermudas,-,-,2018,Vinho de mesa
Bolívia,21.566,57.424,2018,Vinho de mesa
Bósnia-Herzegovina,-,-,2018,Vinho de mesa
Brasil,-,-,2018,Vinho de mesa
Bulgária,-,-,2018,Vinho de mesa
Cabo Verde,18,48,2018,Vinho de mesa
Camarões,-,-,2018,Vinho de mesa
Canadá,5.308,20.414,2018,Vinho de mesa
Catar,-,-,2018,Vinho de mesa
"Cayman, Ilhas",19,203,2018,Vinho de mesa
Chile,11.049,42.832,2018,Vinho de mesa
China,30.835,126.336,2018,Vinho de mesa
Chipre,279,480,2018,Vinho de mesa
Cingapura,3.298,11.616,2018,Vinho de mesa
"Cocos (Keeling), Ilhas",-,-,2018,Vinho de mesa
Colômbia,6.944,26.273,2018,Vinho de mesa
Comores,-,-,2018,Vinho de mesa
Congo,-,-,2018,Vinho de mesa
"Coreia, Republica Sul",120,109,2018,Vinho de mesa
Costa do Marfim,-,-,2018,Vinho de mesa
Costa Rica,-,-,2018,Vinho de mesa
Croácia,-,-,2018,Vinho de mesa
Cuba,4.776,5.584,2018,Vinho de mesa
Curaçao,23.930,43.676,2018,Vinho de mesa
Dinamarca,-,-,2018,Vinho de mesa
Dominica,-,-,2018,Vinho de mesa
El Salvador,-,-,2018,Vinho de mesa
Emirados Arabes Unidos,360,1.762,2018,Vinho de mesa
Equador,-,-,2018,Vinho de mesa
"Eslovaca, Republica",-,-,2018,Vinho de mesa
Espanha,6.123,22.631,2018,Vinho de mesa
Estados Unidos,169.109,512.519,2018,Vinho de mesa
Estônia,-,-,2018,Vinho de mesa
Filipinas,9.608,16.205,2018,Vinho de mesa
Finlândia,-,-,2018,Vinho de mesa
França,11.077,48.677,2018,Vinho de mesa
Gana,9.000,13.502,2018,Vinho de mesa
Gibraltar,-,-,2018,Vinho de mesa
Granada,-,-,2018,Vinho de mesa
Grécia,232,730,2018,Vinho de mesa
Guatemala,-,-,2018,Vinho de mesa
Guiana,-,-,2018,Vinho de mesa
Guiana Francesa,-,-,2018,Vinho de mesa
Guine Bissau,-,-,2018,Vinho de mesa
Guine Equatorial,8.389,26.808,2018,Vinho de mesa
Haiti,79.500,144.425,2018,Vinho de mesa
Honduras,-,-,2018,Vinho de mesa
Hong Kong,1.742,9.029,2018,Vinho de mesa
Hungria,-,-,2018,Vinho de mesa
Ilha de Man,-,-,2018,Vinho de mesa
Ilhas Virgens,-,-,2018,Vinho de mesa
India,-,-,2018,Vinho de mesa
Indonésia,-,-,2018,Vinho de mesa
Irã,-,-,2018,Vinho de mesa
Iraque,-,-,2018,Vinho de mesa
Irlanda,7.560,25.767,2018,Vinho de mesa
Itália,3.661,13.260,2018,Vinho de mesa
Jamaica,-,-,2018,Vinho de mesa
Japão,36.992,112.342,2018,Vinho de mesa
Jordânia,-,-,2018,Vinho de mesa
Letônia,-,-,2018,Vinho de mesa
Líbano,-,-,2018,Vinho de mesa
Libéria,658,3.100,2018,Vinho de mesa
Luxemburgo,1.778,11.053,2018,Vinho de mesa
Macau,-,-,2018,Vinho de mesa
Malásia,15,33,2018,Vinho de mesa
Malavi,-,-,2018,Vinho de mesa
Malta,503,1.192,2018,Vinho de mesa
"Marshall, Ilhas",923,2.436,2018,Vinho de mesa
Martinica,-,-,2018,Vinho de mesa
Mauritânia,-,-,2018,Vinho de mesa
México,2.748,9.744,2018,Vinho de mesa
Moçambique,-,-,2018,Vinho de mesa
Montenegro,-,-,2018,Vinho de mesa
Namíbia,-,-,2018,Vinho de mesa
Nicarágua,-,-,2018,Vinho de mesa
Nigéria,5.175,6.250,2018,Vinho de mesa
Noruega,1.295,9.847,2018,Vinho de mesa
Nova Caledônia,-,-,2018,Vinho de mesa
Nova Zelândia,969,5.565,2018,Vinho de mesa
Omã,-,-,2018,Vinho de mesa
Países Baixos,9.451,32.395,2018,Vinho de mesa
Palau,-,-,2018,Vinho de mesa
Panamá,1.183,3.117,2018,Vinho de mesa
Paraguai,3.234.168,5.494.321,2018,Vinho de mesa
Peru,5.193,19.372,2018,Vinho de mesa
Pitcairn,-,-,2018,Vinho de mesa
Polônia,720,4.679,2018,Vinho de mesa
Porto Rico,-,-,2018,Vinho de mesa
Portugal,-,-,2018,Vinho de mesa
Quênia,6.771,31.225,2018,Vinho de mesa
Reino Unido,67.708,296.827,2018,Vinho de mesa
República Dominicana,-,-,2018,Vinho de mesa
Rússia,-,-,2018,Vinho de mesa
São Cristóvão e Névis,-,-,2018,Vinho de mesa
São Tomé e Príncipe,2.184,2.357,2018,Vinho de mesa
São Vicente e Granadinas,-,-,2018,Vinho de mesa
Senegal,-,-,2018,Vinho de mesa
Serra Leoa,-,-,2018,Vinho de mesa
Singapura,-,-,2018,Vinho de mesa
Suazilândia,-,-,2018,Vinho de mesa
Suécia,8.062,34.563,2018,Vinho de mesa
Suíça,-,-,2018,Vinho de mesa
Suriname,-,-,2018,Vinho de mesa
Tailândia,8,45,2018,Vinho de mesa
Taiwan (Formosa),7.589,18.421,2018,Vinho de mesa
Tanzânia,-,-,2018,Vinho de mesa
"Tcheca, República",2.712,20.980,2018,Vinho de mesa
Togo,-,-,2018,Vinho de mesa
Toquelau,-,-,2018,Vinho de mesa
Trinidade Tobago,-,-,2018,Vinho de mesa
Tunísia,-,-,2018,Vinho de mesa
Turquia,360,150,2018,Vinho de mesa
Tuvalu,-,-,2018,Vinho de mesa
Uruguai,7.711,29.617,2018,Vinho de mesa
Vanuatu,-,-,2018,Vinho de mesa
Venezuela,71,355,2018,Vinho de mesa
Vietnã,-,-,2018,Vinho de mesa
Afeganistão,-,-,2019,Vinho de mesa
África do Sul,26,95,2019,Vinho de mesa
"Alemanha, República Democrática",3.660,25.467,2019,Vinho de mesa
Angola,345,1.065,2019,Vinho de mesa
Anguilla,-,-,2019,Vinho de mesa
Antígua e Barbuda,219,1.549,2019,Vinho de mesa
Antilhas Holandesas,-,-,2019,Vinho de mesa
Arábia Saudita,-,-,2019,Vinho de mesa
Argentina,-,-,2019,Vinho de mesa
Aruba,-,-,2019,Vinho de mesa
Austrália,1.161,4.682,2019,Vinho de mesa
Áustria,-,-,2019,Vinho de mesa
Bahamas,791,3.124,2019,Vinho de mesa
Bangladesh,-,-,2019,Vinho de mesa
Barbados,36,394,2019,Vinho de mesa
Barein,482,2.144,2019,Vinho de mesa
Bélgica,2.498,12.548,2019,Vinho de mesa
Belice,9,29,2019,Vinho de mesa
Benin,9,9,2019,Vinho de mesa
Bermudas,-,-,2019,Vinho de mesa
Bolívia,-,-,2019,Vinho de mesa
Bósnia-Herzegovina,-,-,2019,Vinho de mesa
Brasil,-,-,2019,Vinho de mesa
Bulgária,-,-,2019,Vinho de mesa
Cabo Verde,-,-,2019,Vinho de mesa
Camarões,-,-,2019,Vinho de mesa
Canadá,1.589,6.933,2019,Vinho de mesa
Catar,-,-,2019,Vinho de mesa
"Cayman, Ilhas",19,106,2019,Vinho de mesa
Chile,-,-,2019,Vinho de mesa
China,129.852,376.828,2019,Vinho de mesa
Chipre,672,1.843,2019,Vinho de mesa
Cingapura,5.044,19.099,2019,Vinho de mesa
"Cocos (Keeling), Ilhas",-,-,2019,Vinho de mesa
Colômbia,897,1.999,2019,Vinho de mesa
Comores,-,-,2019,Vinho de mesa
Congo,-,-,2019,Vinho de mesa
"Coreia, Republica Sul",70,194,2019,Vinho de mesa
Costa do Marfim,-,-,2019,Vinho de mesa
Costa Rica,-,-,2019,Vinho de mesa
Croácia,-,-,2019,Vinho de mesa
Cuba,-,-,2019,Vinho de mesa
Curaçao,33.951,62.067,2019,Vinho de mesa
Dinamarca,240,306,2019,Vinho de mesa
Dominica,-,-,2019,Vinho de mesa
El Salvador,-,-,2019,Vinho de mesa
Emirados Arabes Unidos,450,2.202,2019,Vinho de mesa
Equador,2,3,2019,Vinho de mesa
"Eslovaca, Republica",-,-,2019,Vinho de mesa
Espanha,3.540,1.353,2019,Vinho de mesa
Estados Unidos,209.765,616.274,2019,Vinho de mesa
Estônia,-,-,2019,Vinho de mesa
Filipinas,736,2.486,2019,Vinho de mesa
Finlândia,-,-,2019,Vinho de mesa
França,18.286,67.072,2019,Vinho de mesa
Gana,7.673,10.010,2019,Vinho de mesa
Gibraltar,23,93,2019,Vinho de mesa
Granada,-,-,2019,Vinho de mesa
Grécia,561,1.994,2019,Vinho de mesa
Guatemala,1.597,8.719,2019,Vinho de mesa
Guiana,424,1.311,2019,Vinho de mesa
Guiana Francesa,-,-,2019,Vinho de mesa
Guine Bissau,-,-,2019,Vinho de mesa
Guine Equatorial,-,-,2019,Vinho de mesa
Haiti,81.873,129.803,2019,Vinho de mesa
Honduras,-,-,2019,Vinho de mesa
Hong Kong,9.651,42.020,2019,Vinho de mesa
Hungria,-,-,2019,Vinho de mesa
Ilha de Man,28,175,2019,Vinho de mesa
Ilhas Virgens,-,-,2019,Vinho de mesa
India,51,273,2019,Vinho de mesa
Indonésia,-,-,2019,Vinho de mesa
Irã,-,-,2019,Vinho de mesa
Iraque,-,-,2019,Vinho de mesa
Irlanda,-,-,2019,Vinho de mesa
Itália,587,1.625,2019,Vinho de mesa
Jamaica,-,-,2019,Vinho de mesa
Japão,40.621,99.642,2019,Vinho de mesa
Jordânia,-,-,2019,Vinho de mesa
Letônia,-,-,2019,Vinho de mesa
Líbano,-,-,2019,Vinho de mesa
Libéria,4.441,20.068,2019,Vinho de mesa
Luxemburgo,1.666,11.211,2019,Vinho de mesa
Macau,-,-,2019,Vinho de mesa
Malásia,48,110,2019,Vinho de mesa
Malavi,-,-,2019,Vinho de mesa
Malta,3.661,8.828,2019,Vinho de mesa
"Marshall, Ilhas",7.276,15.786,2019,Vinho de mesa
Martinica,-,-,2019,Vinho de mesa
Mauritânia,-,-,2019,Vinho de mesa
México,4,4,2019,Vinho de mesa
Moçambique,-,-,2019,Vinho de mesa
Montenegro,9,46,2019,Vinho de mesa
Namíbia,-,-,2019,Vinho de mesa
Nicarágua,-,-,2019,Vinho de mesa
Nigéria,28.437,38.555,2019,Vinho de mesa
Noruega,628,3.139,2019,Vinho de mesa
Nova Caledônia,-,-,2019,Vinho de mesa
Nova Zelândia,500,2.832,2019,Vinho de mesa
Omã,-,-,2019,Vinho de mesa
Países Baixos,44.882,148.031,2019,Vinho de mesa
Palau,-,-,2019,Vinho de mesa
Panamá,7.918,29.017,2019,Vinho de mesa
Paraguai,2.419.537,3.826.587,2019,Vinho de mesa
Peru,9.755,17.310,2019,Vinho de mesa
Pitcairn,-,-,2019,Vinho de mesa
Polônia,5,11,2019,Vinho de mesa
Porto Rico,-,-,2019,Vinho de mesa
Portugal,18.328,72.413,2019,Vinho de mesa
Quênia,-,-,2019,Vinho de mesa
Reino Unido,34.295,164.592,2019,Vinho de mesa
República Dominicana,-,-,2019,Vinho de mesa
Rússia,-,-,2019,Vinho de mesa
São Cristóvão e Névis,-,-,2019,Vinho de mesa
São Tomé e Príncipe,-,-,2019,Vinho de mesa
São Vicente e Granadinas,-,-,2019,Vinho de mesa
Senegal,-,-,2019,Vinho de mesa
Serra Leoa,18,717,2019,Vinho de mesa
Singapura,-,-,2019,Vinho de mesa
Suazilândia,-,-,2019,Vinho de mesa
Suécia,28,761,2019,Vinho de mesa
Suíça,2.223,28.503,2019,Vinho de mesa
Suriname,3.206,4.741,2019,Vinho de mesa
Tailândia,128,832,2019,Vinho de mesa
Taiwan (Formosa),12,67,2019,Vinho de mesa
Tanzânia,-,-,2019,Vinho de mesa
"Tcheca, República",2.115,16.391,2019,Vinho de mesa
Togo,-,-,2019,Vinho de mesa
Toquelau,-,-,2019,Vinho de mesa
Trinidade Tobago,-,-,2019,Vinho de mesa
Tunísia,-,-,2019,Vinho de mesa
Turquia,115,209,2019,Vinho de mesa
Tuvalu,-,-,2019,Vinho de mesa
Uruguai,6.180,18.497,2019,Vinho de mesa
Vanuatu,-,-,2019,Vinho de mesa
Venezuela,-,-,2019,Vinho de mesa
Vietnã,20,32,2019,Vinho de mesa
Afeganistão,-,-,2020,Vinho de mesa
África do Sul,4,21,2020,Vinho de mesa
"Alemanha, República Democrática",6.261,32.605,2020,Vinho de mesa
Angola,-,-,2020,Vinho de mesa
Anguilla,-,-,2020,Vinho de mesa
Antígua e Barbuda,624,1.864,2020,Vinho de mesa
Antilhas Holandesas,-,-,2020,Vinho de mesa
Arábia Saudita,-,-,2020,Vinho de mesa
Argentina,1.015,4.176,2020,Vinho de mesa
Aruba,-,-,2020,Vinho de mesa
Austrália,1.013,3.413,2020,Vinho de mesa
Áustria,-,-,2020,Vinho de mesa
Bahamas,1.212,3.703,2020,Vinho de mesa
Bangladesh,3,29,2020,Vinho de mesa
Barbados,143,169,2020,Vinho de mesa
Barein,8,28,2020,Vinho de mesa
Bélgica,3.166,20.460,2020,Vinho de mesa
Belice,-,-,2020,Vinho de mesa
Benin,-,-,2020,Vinho de mesa
Bermudas,-,-,2020,Vinho de mesa
Bolívia,9.900,16.025,2020,Vinho de mesa
Bósnia-Herzegovina,45,52,2020,Vinho de mesa
Brasil,-,-,2020,Vinho de mesa
Bulgária,-,-,2020,Vinho de mesa
Cabo Verde,-,-,2020,Vinho de mesa
Camarões,0,178,2020,Vinho de mesa
Canadá,1.672,8.431,2020,Vinho de mesa
Catar,-,-,2020,Vinho de mesa
"Cayman, Ilhas",123,339,2020,Vinho de mesa
Chile,11,13,2020,Vinho de mesa
China,122.253,363.000,2020,Vinho de mesa
Chipre,2.478,6.785,2020,Vinho de mesa
Cingapura,4.049,9.316,2020,Vinho de mesa
"Cocos (Keeling), Ilhas",-,-,2020,Vinho de mesa
Colômbia,15.660,23.780,2020,Vinho de mesa
Comores,9,25,2020,Vinho de mesa
Congo,-,-,2020,Vinho de mesa
"Coreia, Republica Sul",103,433,2020,Vinho de mesa
Costa do Marfim,-,-,2020,Vinho de mesa
Costa Rica,-,-,2020,Vinho de mesa
Croácia,21,123,2020,Vinho de mesa
Cuba,-,-,2020,Vinho de mesa
Curaçao,47.962,65.986,2020,Vinho de mesa
Dinamarca,659,1.962,2020,Vinho de mesa
Dominica,-,-,2020,Vinho de mesa
El Salvador,-,-,2020,Vinho de mesa
Emirados Arabes Unidos,581,2.279,2020,Vinho de mesa
Equador,3.780,3.824,2020,Vinho de mesa
"Eslovaca, Republica",-,-,2020,Vinho de mesa
Espanha,28,126,2020,Vinho de mesa
Estados Unidos,300.178,610.793,2020,Vinho de mesa
Estônia,-,-,2020,Vinho de mesa
Filipinas,719,1.548,2020,Vinho de mesa
Finlândia,-,-,2020,Vinho de mesa
França,12.622,57.144,2020,Vinho de mesa
Gana,18.810,22.027,2020,Vinho de mesa
Gibraltar,769,2.860,2020,Vinho de mesa
Granada,-,-,2020,Vinho de mesa
Grécia,6.859,18.092,2020,Vinho de mesa
Guatemala,-,-,2020,Vinho de mesa
Guiana,990,2.577,2020,Vinho de mesa
Guiana Francesa,-,-,2020,Vinho de mesa
Guine Bissau,-,-,2020,Vinho de mesa
Guine Equatorial,-,-,2020,Vinho de mesa
Haiti,399.128,471.152,2020,Vinho de mesa
Honduras,-,-,2020,Vinho de mesa
Hong Kong,15.159,41.987,2020,Vinho de mesa
Hungria,-,-,2020,Vinho de mesa
Ilha de Man,11,121,2020,Vinho de mesa
Ilhas Virgens,-,-,2020,Vinho de mesa
India,7,10,2020,Vinho de mesa
Indonésia,5,6,2020,Vinho de mesa
Irã,21,35,2020,Vinho de mesa
Iraque,-,-,2020,Vinho de mesa
Irlanda,29,257,2020,Vinho de mesa
Itália,91,376,2020,Vinho de mesa
Jamaica,-,-,2020,Vinho de mesa
Japão,36.442,92.674,2020,Vinho de mesa
Jordânia,12,52,2020,Vinho de mesa
Letônia,-,-,2020,Vinho de mesa
Líbano,-,-,2020,Vinho de mesa
Libéria,5.155,17.624,2020,Vinho de mesa
Luxemburgo,1.086,5.110,2020,Vinho de mesa
Macau,-,-,2020,Vinho de mesa
Malásia,-,-,2020,Vinho de mesa
Malavi,-,-,2020,Vinho de mesa
Malta,3.490,9.688,2020,Vinho de mesa
"Marshall, Ilhas",6.270,19.639,2020,Vinho de mesa
Martinica,-,-,2020,Vinho de mesa
Mauritânia,-,-,2020,Vinho de mesa
México,24,226,2020,Vinho de mesa
Moçambique,-,-,2020,Vinho de mesa
Montenegro,9,20,2020,Vinho de mesa
Namíbia,-,-,2020,Vinho de mesa
Nicarágua,-,-,2020,Vinho de mesa
Nigéria,12.094,26.514,2020,Vinho de mesa
Noruega,1.859,15.134,2020,Vinho de mesa
Nova Caledônia,-,-,2020,Vinho de mesa
Nova Zelândia,95,515,2020,Vinho de mesa
Omã,-,-,2020,Vinho de mesa
Países Baixos,248,1.532,2020,Vinho de mesa
Palau,-,-,2020,Vinho de mesa
Panamá,10.821,28.372,2020,Vinho de mesa
Paraguai,3.299.013,3.869.243,2020,Vinho de mesa
Peru,-,-,2020,Vinho de mesa
Pitcairn,-,-,2020,Vinho de mesa
Polônia,74,86,2020,Vinho de mesa
Porto Rico,-,-,2020,Vinho de mesa
Portugal,7.958,34.518,2020,Vinho de mesa
Quênia,-,-,2020,Vinho de mesa
Reino Unido,22.913,82.722,2020,Vinho de mesa
República Dominicana,-,-,2020,Vinho de mesa
Rússia,1.463,8.550,2020,Vinho de mesa
São Cristóvão e Névis,-,-,2020,Vinho de mesa
São Tomé e Príncipe,-,-,2020,Vinho de mesa
São Vicente e Granadinas,-,-,2020,Vinho de mesa
Senegal,-,-,2020,Vinho de mesa
Serra Leoa,9.240,13.050,2020,Vinho de mesa
Singapura,-,-,2020,Vinho de mesa
Suazilândia,-,-,2020,Vinho de mesa
Suécia,6,24,2020,Vinho de mesa
Suíça,2.827,27.930,2020,Vinho de mesa
Suriname,4.185,5.277,2020,Vinho de mesa
Tailândia,534,1.753,2020,Vinho de mesa
Taiwan (Formosa),963,4.673,2020,Vinho de mesa
Tanzânia,-,-,2020,Vinho de mesa
"Tcheca, República",563,4.805,2020,Vinho de mesa
Togo,-,-,2020,Vinho de mesa
Toquelau,-,-,2020,Vinho de mesa
Trinidade Tobago,-,-,2020,Vinho de mesa
Tunísia,-,-,2020,Vinho de mesa
Turquia,-,-,2020,Vinho de mesa
Tuvalu,2,4,2020,Vinho de mesa
Uruguai,-,-,2020,Vinho de mesa
Vanuatu,18,31,2020,Vinho de mesa
Venezuela,4.086,9.808,2020,Vinho de mesa
Vietnã,86,584,2020,Vinho de mesa
Afeganistão,11,46,2021,Vinho de mesa
África do Sul,-,-,2021,Vinho de mesa
"Alemanha, República Democrática",2.698,6.741,2021,Vinho de mesa
Angola,-,-,2021,Vinho de mesa
Anguilla,-,-,2021,Vinho de mesa
Antígua e Barbuda,805,2.268,2021,Vinho de mesa
Antilhas Holandesas,-,-,2021,Vinho de mesa
Arábia Saudita,-,-,2021,Vinho de mesa
Argentina,6,13,2021,Vinho de mesa
Aruba,-,-,2021,Vinho de mesa
Austrália,705,4.034,2021,Vinho de mesa
Áustria,-,-,2021,Vinho de mesa
Bahamas,1.083,4.567,2021,Vinho de mesa
Bangladesh,2,20,2021,Vinho de mesa
Barbados,216,844,2021,Vinho de mesa
Barein,302,894,2021,Vinho de mesa
Bélgica,483,3.749,2021,Vinho de mesa
Belice,-,-,2021,Vinho de mesa
Benin,-,-,2021,Vinho de mesa
Bermudas,-,-,2021,Vinho de mesa
Bolívia,5.850,8.360,2021,Vinho de mesa
Bósnia-Herzegovina,-,-,2021,Vinho de mesa
Brasil,31,46,2021,Vinho de mesa
Bulgária,-,-,2021,Vinho de mesa
Cabo Verde,16,124,2021,Vinho de mesa
Camarões,-,-,2021,Vinho de mesa
Canadá,1.172,6.157,2021,Vinho de mesa
Catar,1,2,2021,Vinho de mesa
"Cayman, Ilhas",104,356,2021,Vinho de mesa
Chile,26,6,2021,Vinho de mesa
China,61.884,264.116,2021,Vinho de mesa
Chipre,1.855,4.530,2021,Vinho de mesa
Cingapura,-,-,2021,Vinho de mesa
"Cocos (Keeling), Ilhas",-,-,2021,Vinho de mesa
Colômbia,12.160,21.867,2021,Vinho de mesa
Comores,-,-,2021,Vinho de mesa
Congo,-,-,2021,Vinho de mesa
"Coreia, Republica Sul",67,100,2021,Vinho de mesa
Costa do Marfim,-,-,2021,Vinho de mesa
Costa Rica,-,-,2021,Vinho de mesa
Croácia,-,-,2021,Vinho de mesa
Cuba,-,-,2021,Vinho de mesa
Curaçao,32.263,58.993,2021,Vinho de mesa
Dinamarca,87,504,2021,Vinho de mesa
Dominica,460,634,2021,Vinho de mesa
El Salvador,-,-,2021,Vinho de mesa
Emirados Arabes Unidos,810,10.522,2021,Vinho de mesa
Equador,-,-,2021,Vinho de mesa
"Eslovaca, Republica",-,-,2021,Vinho de mesa
Espanha,-,-,2021,Vinho de mesa
Estados Unidos,111.085,203.554,2021,Vinho de mesa
Estônia,-,-,2021,Vinho de mesa
Filipinas,2.784,10.368,2021,Vinho de mesa
Finlândia,-,-,2021,Vinho de mesa
França,7.052,23.742,2021,Vinho de mesa
Gana,12.578,19.196,2021,Vinho de mesa
Gibraltar,-,-,2021,Vinho de mesa
Granada,-,-,2021,Vinho de mesa
Grécia,908,3.014,2021,Vinho de mesa
Guatemala,17.347,29.100,2021,Vinho de mesa
Guiana,2.372,6.525,2021,Vinho de mesa
Guiana Francesa,90,32,2021,Vinho de mesa
Guine Bissau,-,-,2021,Vinho de mesa
Guine Equatorial,-,-,2021,Vinho de mesa
Haiti,670.379,831.181,2021,Vinho de mesa
Honduras,-,-,2021,Vinho de mesa
Hong Kong,12.507,39.390,2021,Vinho de mesa
Hungria,87,583,2021,Vinho de mesa
Ilha de Man,97,445,2021,Vinho de mesa
Ilhas Virgens,-,-,2021,Vinho de mesa
India,13,86,2021,Vinho de mesa
Indonésia,-,-,2021,Vinho de mesa
Irã,116,287,2021,Vinho de mesa
Iraque,-,-,2021,Vinho de mesa
Irlanda,36,208,2021,Vinho de mesa
Itália,696,3.715,2021,Vinho de mesa
Jamaica,-,-,2021,Vinho de mesa
Japão,39.491,90.275,2021,Vinho de mesa
Jordânia,-,-,2021,Vinho de mesa
Letônia,-,-,2021,Vinho de mesa
Líbano,-,-,2021,Vinho de mesa
Libéria,7.554,23.060,2021,Vinho de mesa
Luxemburgo,-,-,2021,Vinho de mesa
